legId,isNonStop,totalFare,segmentsDepartureAirportCode,segmentsArrivalAirportCode,segmentsAirlineName,segmentsDepartureWeekday,segmentsDepartureTimeOfDay,segmentsArrivalWeekday,segmentsArrivalTimeOfDay,startingAirport,destinationAirport
ac8796ec59ed4c86661c58a75fe133a4,false,241.61,SFO||FLL,FLL||LGA,JetBlue Airways||JetBlue Airways,3||3,06:00||15:15,3||3,11:45||18:15,SFO,LGA
f6e9efa16db06934774376aaec959b18,false,147.6,DFW||IAH,IAH||LAX,United||United,5||5,00:15||03:30,5||5,01:30||07:00,DFW,LAX
e1f4800083b25a1c137ebe6d322e547f,false,717.2,DEN||RIC,RIC||JFK,United||Delta,5||6,23:45||11:00,6||6,03:00||12:30,DEN,JFK
5ede97a9663902c130d2fadfe6f50b57,false,431.6,JFK||SAV,SAV||ATL,Delta||Delta,3||3,13:30||16:15,3||3,15:45||17:30,JFK,ATL
b7ca95a3d675bafc0f918a813d3fe442,false,184.6,BOS||MSP,MSP||DEN,Sun Country Airlines||Sun Country Airlines,5||5,15:30||20:00,5||5,18:45||22:15,BOS,DEN
005b7746c76d5c971fcd7cc95b2cf5c3,true,258.6,DFW,LAX,American Airlines,5,23:00,6,02:15,DFW,LAX
51356071c72a51774b08e682c04e66d6,true,358.6,EWR,MIA,JetBlue Airways,5,10:00,5,13:15,EWR,MIA
d27481d76dfdec004cf49f18612d5b19,false,497.2,SFO||SEA,SEA||MIA,United||Alaska Airlines,5||5,05:45||14:15,5||5,08:00||20:30,SFO,MIA
128f6bd1ee4636c2d846da011d65e2d8,false,408.6,SFO||SLC,SLC||CLT,Delta||Delta,7||7,14:00||17:00,7||7,16:00||20:45,SFO,CLT
0e21ca5b83d8576fcbaa1a1d7ab4eab9,true,263.6,PHL,ATL,Delta,7,12:15,7,14:15,PHL,ATL
75bd08e28f45490b879bf21766ae43eb,false,135.58,MIA||ORD,ORD||LAX,Spirit Airlines||Spirit Airlines,5||6,15:15||00:15,5||6,18:30||05:00,MIA,LAX
0c1da5de2c036bec79cdce98454e5d76,true,598.61,ATL,DEN,Delta,2,12:45,2,16:00,ATL,DEN
20dadf94929f16589b18ce2aae20d968,false,312.6,JFK||RDU,RDU||DTW,Delta||Delta,6||6,16:00||21:15,6||6,17:45||23:00,JFK,DTW
96caa1c1f1c7fae985938ec26cb89f83,false,132.61,DFW||LGA,LGA||BOS,Delta||Delta,2||2,15:00||20:00,2||2,18:30||21:30,DFW,BOS
371e3bb661d99c7e96e690c3de705be5,false,188.6,DEN||ORD,ORD||MIA,American Airlines||American Airlines,3||3,15:30||20:15,3||3,18:00||23:30,DEN,MIA
c9bb1327236d939cf46a5529fdf43ae4,true,319.6,BOS,LAX,JetBlue Airways,6,19:45,7,02:00,BOS,LAX
5869381d8fc8b5a65131576c8ee88a0a,false,112.6,DTW||JFK,JFK||BOS,American Airlines||American Airlines,6||6,11:45||17:00,6||6,13:30||18:15,DTW,BOS
