legId,isNonStop,totalFare,segmentsDepartureAirportCode,segmentsArrivalAirportCode,segmentsAirlineName,segmentsDepartureWeekday,segmentsDepartureTimeOfDay,segmentsArrivalWeekday,segmentsArrivalTimeOfDay,startingAirport,destinationAirport
fbf947566f1cba3189c8a5b3ec654f01,true,113.6,JFK,BOS,American Airlines,6,00:00,6,01:30,JFK,BOS
916c9cb95663b35ffe8481518fb454a5,true,235.6,LAX,ORD,American Airlines,3,00:45,3,04:45,LAX,ORD
3a7fabdc9b8df56e0d06dac4f9d65bc2,true,303.6,DFW,CLT,American Airlines,3,11:45,3,14:15,DFW,CLT
cb03e1f7ceafb5c9463846deee5a20ef,true,326.6,LAX,DFW,American Airlines,3,22:45,4,02:00,LAX,DFW
17ae4bd6ed5681dad5e0858c7658d1b0,true,213.6,ATL,EWR,United,6,00:00,6,02:30,ATL,EWR
c75e76c8c479f3c9c409249930492b92,true,248.6,IAD,LAX,United,1,01:00,1,06:45,IAD,LAX
ec925b1c659dc0f1762e3cd2b8e378c9,true,348.59,EWR,CLT,United,6,18:30,6,20:45,EWR,CLT
6304d0a68c939a052c8151204f81b522,true,469.61,DEN,BOS,JetBlue Airways,1,18:15,1,22:15,DEN,BOS
e6ad11f1f34d20887a1bc7668dd49879,true,218.98,SFO,DFW,Frontier Airlines,6,15:45,6,19:30,SFO,DFW
9ff4f19e54af224ae2f8cc17962a6b2b,true,218.6,LAX,BOS,JetBlue Airways,5,16:15,5,21:45,LAX,BOS
821498fce02c64fd0e14232200b47196,true,233.99,TTN,ATL,Frontier Airlines,7,22:15,1,00:30,TTN,ATL
e9620de59ed5d750795132479f1c7d2b,true,99.6,BOS,EWR,American Airlines,3,20:45,3,22:30,BOS,EWR
d41bc9292dfc5106bf27612f128f4724,true,194.6,MIA,ORD,American Airlines,7,01:30,7,05:00,MIA,ORD
e4c3bd01ee17644ff9fa0dde758998ee,true,129.35,DTW,BOS,American Airlines,2,12:15,2,14:00,DTW,BOS
c8de6e564eb5bcf34712b0a491b03c34,true,163.6,DFW,LGA,American Airlines,3,13:45,3,17:00,DFW,LGA
